EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1,56,Non-Travel,364,Sales,14,2,Marketing,4,Female,85,3,5,Sales Executive,4,Single,6380,24316,3,No,16,3,4,3,9,0,1,5,15,1,15,No
2,46,Travel_Rarely,1495,Sales,3,4,Human Resources,1,Male,53,1,1,Manufacturing Director,2,Divorced,4032,14849,8,Yes,12,4,3,3,32,2,4,38,3,13,8,No
3,32,Travel_Rarely,745,Human Resources,28,2,Life Sciences,4,Female,95,1,5,Sales Representative,2,Divorced,19915,13071,2,No,14,4,3,0,29,2,1,24,1,3,15,No
4,25,Travel_Rarely,310,Research & Development,17,2,Marketing,4,Male,42,2,5,Research Scientist,1,Married,8471,16081,4,No,23,4,2,0,29,1,1,37,4,11,1,No
5,38,Travel_Frequently,1042,Sales,3,1,Marketing,2,Female,91,2,1,Research Scientist,1,Divorced,5719,15228,0,No,24,4,2,0,15,3,1,37,16,10,9,No
6,56,Non-Travel,1487,Human Resources,16,2,Technical Degree,4,Female,83,2,1,Sales Executive,2,Divorced,13943,13614,5,No,21,4,4,1,8,1,1,30,1,2,12,No
7,36,Travel_Rarely,556,Sales,14,1,Marketing,2,Female,44,4,2,Research Scientist,1,Married,5863,12301,2,No,17,3,2,1,16,4,3,28,13,11,1,No
8,40,Non-Travel,824,Sales,20,4,Other,4,Male,98,4,4,Research Director,2,Single,5038,4781,0,No,19,3,2,2,34,4,1,39,6,2,12,No
9,28,Non-Travel,1349,Research & Development,29,2,Marketing,4,Male,32,3,2,Research Director,1,Single,19836,12083,9,Yes,19,3,1,1,14,6,1,8,14,2,2,No
10,28,Travel_Rarely,1081,Sales,13,2,Technical Degree,3,Female,66,2,2,Research Director,3,Single,3846,13374,5,No,22,4,3,0,27,0,1,0,17,10,14,No
11,41,Travel_Rarely,1254,Human Resources,15,3,Human Resources,4,Female,66,4,1,Sales Executive,1,Divorced,9064,3639,9,Yes,13,4,3,1,19,0,3,15,12,3,2,No
12,53,Non-Travel,687,Human Resources,14,4,Technical Degree,2,Female,32,2,1,Sales Executive,1,Married,12394,15838,1,No,11,4,2,3,32,0,4,37,11,0,9,Yes
13,57,Travel_Rarely,575,Research & Development,24,4,Technical Degree,2,Male,92,4,4,Manufacturing Director,3,Single,7622,10973,7,Yes,19,3,3,1,32,0,3,22,1,0,5,No
14,41,Travel_Rarely,1085,Sales,25,3,Life Sciences,1,Male,64,4,5,Manager,2,Divorced,13295,15982,1,No,18,3,3,3,35,0,3,7,11,6,13,No
15,20,Travel_Rarely,1400,Human Resources,19,3,Other,1,Male,81,1,2,Research Director,1,Married,12782,14884,3,No,17,3,4,2,12,0,3,11,5,4,8,No
16,39,Travel_Frequently,255,Sales,6,1,Life Sciences,3,Female,57,2,4,Research Scientist,1,Single,2159,12248,2,Yes,16,3,3,3,3,0,4,9,0,2,7,Yes
17,19,Non-Travel,1341,Sales,10,1,Human Resources,2,Male,47,2,2,Laboratory Technician,3,Single,5626,12515,8,No,24,3,2,0,22,0,1,15,0,8,5,No
18,41,Non-Travel,289,Sales,27,2,Medical,2,Female,65,4,5,Manager,3,Married,4722,4274,1,No,20,3,4,2,7,6,1,23,14,4,14,Yes
19,47,Travel_Frequently,1080,Research & Development,15,2,Human Resources,2,Male,62,2,2,Manufacturing Director,3,Divorced,12630,12830,2,Yes,17,4,3,2,12,5,4,38,15,9,13,No
20,55,Non-Travel,645,Sales,21,2,Other,3,Female,93,4,3,Research Scientist,4,Divorced,12274,4480,6,Yes,21,3,3,2,23,0,4,7,6,2,14,Yes
21,19,Travel_Rarely,140,Human Resources,22,2,Marketing,2,Female,55,2,4,Sales Representative,3,Single,15888,8799,3,No,19,3,4,0,39,2,2,10,13,8,5,Yes
22,38,Non-Travel,406,Sales,20,1,Technical Degree,1,Male,77,1,1,Manufacturing Director,2,Married,7589,10547,5,Yes,16,3,4,3,29,0,1,25,12,0,11,No
23,50,Travel_Rarely,1042,Human Resources,26,4,Medical,3,Female,69,2,2,Research Director,1,Divorced,16473,16328,2,Yes,24,3,3,2,29,3,3,6,11,13,9,No
24,29,Travel_Frequently,437,Sales,6,2,Other,1,Female,46,1,4,Research Director,1,Married,3243,14679,0,No,24,3,1,0,24,0,3,14,0,8,7,Yes
25,39,Travel_Rarely,1437,Human Resources,23,4,Life Sciences,1,Female,69,3,4,Sales Representative,4,Married,9177,23058,5,Yes,20,4,1,2,32,5,1,14,11,13,4,Yes
26,42,Non-Travel,1198,Human Resources,25,2,Technical Degree,3,Male,36,2,2,Human Resources,1,Single,2760,15928,3,No,13,3,3,2,8,6,4,2,3,4,9,No
27,44,Non-Travel,1052,Sales,10,3,Human Resources,4,Female,86,2,1,Manufacturing Director,1,Married,17202,21906,1,Yes,23,3,3,0,25,4,2,15,14,5,10,Yes
28,59,Non-Travel,378,Sales,7,2,Life Sciences,4,Male,37,2,1,Sales Representative,2,Married,6442,12659,6,No,24,4,4,1,23,5,3,14,15,1,13,No
29,45,Travel_Frequently,1299,Human Resources,22,2,Other,1,Male,85,1,2,Sales Executive,1,Married,15965,8104,9,No,13,4,4,2,32,5,2,24,14,7,13,Yes
30,33,Travel_Frequently,995,Research & Development,17,2,Other,4,Female,60,2,4,Manufacturing Director,2,Divorced,4236,24203,4,No,14,3,3,1,38,4,3,32,7,14,1,No
